@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

splice,2,10,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,305,14,0,95.611285,4.388715,0,0.929244,0.046875,0.156425,11.423536,34.522172,472.728597,64.495283,408.233314,1.481908,0.20218,1.279728,429.076115,1.345066,90.765847,0.961039,74,0.016529,4,0.983471,238,0.038961,3,0.948718,0.961039,0.954839,0.940381,0.997317,0.991489,0.956113,0.021048,0.978952,0.043887,0.957063,0.956113,0.956315,0.929994,0.992592,0.988276,0.952567,0.956113,0.775,0.102,0.78125,0.09375,781.25,93.75,277622,1496886,177502,99.059561,40.438871,?
splice,3,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,301,18,0,94.357367,5.642633,0,0.907587,0.046954,0.160276,11.457211,35.422226,471.62119,78.722667,392.898523,1.478436,0.24678,1.231657,425.00783,1.332313,90.116356,0.868421,66,0,0,1,243,0.131579,10,1,0.868421,0.929577,0.913289,0.992257,0.989697,0.943574,0.037184,0.962816,0.056426,0.94643,0.943574,0.943517,0.912328,0.989267,0.982977,0.935454,0.943574,0.783,0.116,0.78125,0.125,781.25,125,276834,1496886,177502,98.746082,39.602926,?
splice,3,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,303,16,0,94.984326,5.015674,0,0.918101,0.042718,0.151197,10.423597,33.415739,471.62119,88.97814,382.643049,1.478436,0.278928,1.199508,431.192835,1.351702,91.427791,0.921053,70,0.020576,5,0.979424,238,0.078947,6,0.933333,0.921053,0.927152,0.9046,0.995993,0.986501,0.949843,0.035104,0.964896,0.050157,0.949809,0.949843,0.949789,0.917015,0.987153,0.977559,0.946495,0.949843,0.809,0.112,0.796875,0.125,796.875,125,276806,1496886,177502,98.746082,39.498433,?
splice,3,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,305,14,0,95.611285,4.388715,0,0.929155,0.047466,0.154412,11.582037,34.126243,471.62119,58.151156,413.470033,1.478436,0.182292,1.296144,427.239825,1.33931,90.589616,0.973684,74,0.028807,7,0.971193,236,0.026316,2,0.91358,0.973684,0.942675,0.924814,0.995018,0.98557,0.956113,0.018652,0.981348,0.043887,0.957433,0.956113,0.956365,0.931298,0.994846,0.99117,0.951312,0.956113,0.803,0.089,0.8125,0.078125,812.5,78.125,272651,1496886,177502,99.373041,40.020899,?
splice,3,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,310,9,0,97.178683,2.821317,0,0.95445,0.03693,0.137548,8.999968,30.356228,472.728597,55.009954,417.718643,1.481908,0.172445,1.309463,438.606827,1.374943,92.781953,0.974026,75,0.012397,3,0.987603,239,0.025974,2,0.961538,0.974026,0.967742,0.957425,0.998497,0.995329,0.971787,0.011338,0.988662,0.028213,0.972417,0.971787,0.971932,0.956216,0.993915,0.99082,0.96825,0.971787,0.798,0.086,0.796875,0.078125,796.875,78.125,277116,1496886,177502,99.059561,39.289446,?
splice,3,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,308,11,0,96.551724,3.448276,0,0.944015,0.037456,0.133386,9.128132,29.437538,472.728597,52.994244,419.734353,1.481908,0.166126,1.315782,437.881105,1.372668,92.628436,0.948052,73,0.016529,4,0.983471,238,0.051948,4,0.948052,0.948052,0.948052,0.931523,0.995277,0.987553,0.965517,0.022778,0.977222,0.034483,0.965517,0.965517,0.965517,0.942739,0.994173,0.990931,0.963925,0.965517,0.867,0.103,0.84375,0.109375,843.75,109.375,277312,1496886,177502,99.059561,40.020899,?
splice,3,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,303,16,0,94.984326,5.015674,0,0.919584,0.042409,0.144949,10.335089,31.989534,472.728597,48.264152,424.464445,1.481908,0.151298,1.33061,432.773336,1.356656,91.547949,0.974026,75,0.033058,8,0.966942,234,0.025974,2,0.903614,0.974026,0.9375,0.917768,0.996941,0.990363,0.949843,0.020682,0.979318,0.050157,0.952,0.949843,0.950129,0.920503,0.996499,0.994406,0.946559,0.949843,0.753,0.101,0.765625,0.09375,765.625,93.75,277971,1496886,177502,99.68652,39.811912,?
splice,3,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,306,13,0,95.924765,4.075235,0,0.93318,0.041601,0.148863,10.138129,32.853357,472.728597,58.450344,414.278253,1.481908,0.18323,1.298678,431.60933,1.353007,91.301718,0.883117,68,0.004132,1,0.995868,241,0.116883,9,0.985507,0.883117,0.931507,0.913566,0.993614,0.985461,0.959248,0.034218,0.965782,0.040752,0.960153,0.959248,0.958797,0.933558,0.995746,0.992614,0.955536,0.959248,0.754,0.112,0.734375,0.125,734.375,125,277621,1496886,177502,99.059561,39.393939,?
splice,3,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,304,15,0,95.297806,4.702194,0,0.923442,0.043845,0.155572,10.684988,34.333983,472.728597,60.239667,412.48893,1.481908,0.188839,1.293069,430.052167,1.348126,90.972319,0.935065,72,0.016529,4,0.983471,238,0.064935,5,0.947368,0.935065,0.941176,0.922655,0.995814,0.986125,0.952978,0.03149,0.96851,0.047022,0.952911,0.952978,0.952907,0.923721,0.994374,0.989919,0.948736,0.952978,0.786,0.121,0.78125,0.125,781.25,125,277413,1496886,177502,99.059561,39.602926,?
splice,3,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220615.0347,2871,319,305,14,0,95.611285,4.388715,0,0.928442,0.046101,0.148641,11.24897,32.850654,471.623505,59.453405,412.170099,1.478444,0.186374,1.292069,426.820961,1.337997,90.500358,0.935065,72,0.016529,4,0.983471,238,0.064935,5,0.947368,0.935065,0.941176,0.922655,0.995063,0.984317,0.956113,0.025898,0.974102,0.043887,0.956042,0.956113,0.956063,0.931345,0.99618,0.990933,0.949453,0.956113,0.827,0.151,0.796875,0.109375,796.875,109.375,277564,1496886,177502,99.059561,40.752351,?
